Time:1Hz,Epoch,F4,Event Id,Event Date,Event Duration
23.0000000000,368,2.5966511259,,,
23.0625000000,369,2.3788853965,,,
23.1250000000,370,2.2157542846,,,
23.1875000000,371,2.1402476522,,,
23.2500000000,372,2.0327652412,,,
23.3125000000,373,1.9090643769,,,
23.3750000000,374,1.9863627589,,,
23.4375000000,375,1.9362980648,,,
23.5000000000,376,2.0251445937,,,
23.5625000000,377,1.9219136386,,,
23.6250000000,378,1.6167537637,,,
23.6875000000,379,1.3634881173,,,
23.7500000000,380,1.1365922236,,,
23.8125000000,381,0.8412704651,,,
23.8750000000,382,0.6878332828,,,
23.9375000000,383,0.6573156181,,,
24.0000000000,384,0.6399887631,,,
24.0625000000,385,0.6579071936,,,
24.1250000000,386,0.6995318160,,,
24.1875000000,387,0.7603629190,,,
24.2500000000,388,0.8075905441,,,
24.3125000000,389,0.7941124010,,,
24.3750000000,390,0.7159074481,,,
24.4375000000,391,0.7191087026,,,
24.5000000000,392,0.7442563497,,,
24.5625000000,393,0.7673241376,,,
24.6250000000,394,0.7420476295,,,
24.6875000000,395,0.7085157194,,,
24.7500000000,396,0.7561462707,,,
24.8125000000,397,1.0075008619,,,
24.8750000000,398,1.4254792925,,,
24.9375000000,399,1.8878845186,,,
25.0000000000,400,2.2853145275,,,
25.0625000000,401,2.2981166292,,,
25.1250000000,402,2.1437918431,,,
25.1875000000,403,1.9136565763,,,
25.2500000000,404,1.7259472225,,,
25.3125000000,405,1.7106964728,,,
25.3750000000,406,1.7581415372,,,
25.4375000000,407,1.6015545329,,,
25.5000000000,408,1.4497165803,,,
25.5625000000,409,1.4532404018,,,
25.6250000000,410,1.7318738155,,,
25.6875000000,411,1.9637207107,,,
25.7500000000,412,1.9828167885,,,
25.8125000000,413,2.0026647512,,,
25.8750000000,414,1.9526557015,,,
25.9375000000,415,1.6682716265,,,
26.0000000000,416,1.2201570736,,,
26.0625000000,417,1.2379284025,,,
26.1250000000,418,1.2648394890,,,
26.1875000000,419,1.3502647799,,,
26.2500000000,420,1.4409367768,,,
26.3125000000,421,1.4680869892,,,
26.3750000000,422,1.6227924414,,,
26.4375000000,423,1.7077667705,,,
26.5000000000,424,2.0410561658,,,
26.5625000000,425,2.2853867517,,,
26.6250000000,426,3.2117588649,,,
26.6875000000,427,3.2991126709,,,
26.7500000000,428,2.5192318017,,,
26.8125000000,429,1.7232595207,,,
26.8750000000,430,1.3683173694,,,
26.9375000000,431,1.2337414090,,,
27.0000000000,432,1.2182430753,,,
27.0625000000,433,1.2365573044,,,
27.1250000000,434,1.2120559733,,,
27.1875000000,435,1.2386512439,,,
27.2500000000,436,1.2373855322,,,
27.3125000000,437,1.2611631738,,,
27.3750000000,438,1.3354587745,,,
27.4375000000,439,1.2998178757,,,
27.5000000000,440,1.1587231792,,,
27.5625000000,441,1.0500260293,,,
27.6250000000,442,0.7514249043,,,
27.6875000000,443,0.5905940543,,,
27.7500000000,444,0.5491027148,,,
27.8125000000,445,0.6127757194,,,
27.8750000000,446,0.7235080563,,,
27.9375000000,447,0.8601088294,,,
28.0000000000,448,0.9091920242,,,
28.0625000000,449,0.8543988507,,,
28.1250000000,450,0.8526537363,,,
28.1875000000,451,0.8234432894,,,
28.2500000000,452,0.8228890535,,,
28.3125000000,453,0.8095879123,,,
28.3750000000,454,0.6872594707,,,
28.4375000000,455,0.7954508743,,,
28.5000000000,456,0.8154107389,,,
28.5625000000,457,0.9320194271,,,
28.6250000000,458,1.0720612581,,,
28.6875000000,459,1.1782282450,,,
28.7500000000,460,1.3154988829,,,
28.8125000000,461,1.4273508431,,,
28.8750000000,462,1.4192540543,,,
28.9375000000,463,1.3176243947,,,
29.0000000000,464,1.3126845972,,,
29.0625000000,465,1.4437593428,,,
29.1250000000,466,1.4824831901,,,
29.1875000000,467,1.6250018055,,,
29.2500000000,468,1.6210996482,,,
29.3125000000,469,1.7105137743,,,
29.3750000000,470,1.7600671308,,,
29.4375000000,471,1.7735147750,,,
29.5000000000,472,1.7601251210,,,
29.5625000000,473,1.6508097599,,,
29.6250000000,474,1.5639344978,,,
29.6875000000,475,1.5754031031,,,
29.7500000000,476,1.6657433046,,,
29.8125000000,477,1.6484765577,,,
29.8750000000,478,1.6345102715,,,
29.9375000000,479,1.3967751533,,,
30.0000000000,480,1.1118116134,,,
30.0625000000,481,0.8773658237,,,
30.1250000000,482,0.7499661123,,,
30.1875000000,483,0.6702100676,,,
30.2500000000,484,0.6542744576,,,
30.3125000000,485,0.6145902830,,,
30.3750000000,486,0.5702437737,,,
30.4375000000,487,0.5995842402,,,
30.5000000000,488,0.6661742836,,,
30.5625000000,489,0.6415909374,,,
30.6250000000,490,0.6341004161,,,
30.6875000000,491,0.6627007667,,,
30.7500000000,492,0.6947048046,,,
30.8125000000,493,0.6727851519,,,
30.8750000000,494,0.6416242141,,,
30.9375000000,495,0.6709104375,,,
31.0000000000,496,0.7558738720,,,
31.0625000000,497,0.8636805051,,,
31.1250000000,498,0.9632163015,,,
31.1875000000,499,0.9855076922,,,
31.2500000000,500,1.2443482492,,,
31.3125000000,501,1.2088663675,,,
31.3750000000,502,1.0249724972,,,
31.4375000000,503,0.8134301755,,,
31.5000000000,504,0.7273978725,,,
31.5625000000,505,0.7663787473,,,
31.6250000000,506,0.8090668076,,,
31.6875000000,507,0.8135439982,,,
31.7500000000,508,0.7756832971,,,
31.8125000000,509,0.8387253596,,,
31.8750000000,510,0.8845100516,,,
31.9375000000,511,0.8243088066,,,
32.0000000000,512,0.7393245997,,,
32.0625000000,513,0.6323913755,,,
32.1250000000,514,0.6260238241,,,
32.1875000000,515,0.5972346346,,,
32.2500000000,516,0.4049444394,,,
32.3125000000,517,0.4033764252,,,
32.3750000000,518,0.4663107176,,,
32.4375000000,519,0.4978484519,,,
32.5000000000,520,0.5564353366,,,
32.5625000000,521,0.5145441549,,,
32.6250000000,522,0.4911485705,,,
32.6875000000,523,0.4801403238,,,
32.7500000000,524,0.5178813724,,,
32.8125000000,525,0.4771849636,,,
32.8750000000,526,0.4317815859,,,
32.9375000000,527,0.5191636781,,,
33.0000000000,528,0.6224901314,,,
33.0625000000,529,0.8276772698,,,
33.1250000000,530,1.0544219958,,,
33.1875000000,531,1.0473655255,,,
33.2500000000,532,0.9832194167,,,
33.3125000000,533,1.0134004552,,,
33.3750000000,534,0.8996829616,,,
33.4375000000,535,0.8363513498,,,
33.5000000000,536,0.8029858198,,,
33.5625000000,537,0.8428026058,,,
33.6250000000,538,0.9124952031,,,
33.6875000000,539,0.9361219668,,,
33.7500000000,540,0.8970381778,,,
33.8125000000,541,0.9468647757,,,
33.8750000000,542,1.0057494647,,,
33.9375000000,543,1.0211544440,,,
34.0000000000,544,1.1860003754,,,
34.0625000000,545,1.1770103919,,,
34.1250000000,546,0.9677165912,,,
34.1875000000,547,0.9684920009,,,
34.2500000000,548,0.9438789598,,,
34.3125000000,549,0.8612323608,,,
34.3750000000,550,1.0024797178,,,
34.4375000000,551,0.9447432958,,,
34.5000000000,552,0.8745192190,,,
34.5625000000,553,0.7986743318,,,
34.6250000000,554,0.7747993873,,,
34.6875000000,555,0.7382230312,,,
34.7500000000,556,0.6979058320,,,
34.8125000000,557,0.6604551321,,,
34.8750000000,558,0.6512337449,,,
34.9375000000,559,0.6642446323,,,
35.0000000000,560,0.6586002883,,,
35.0625000000,561,0.6659485579,,,
35.1250000000,562,0.7224738869,,,
35.1875000000,563,0.7311006133,,,
35.2500000000,564,0.7491438453,,,
35.3125000000,565,0.7441905770,,,
35.3750000000,566,0.6932241912,,,
35.4375000000,567,0.7907883460,,,
35.5000000000,568,0.9371304520,,,
35.5625000000,569,1.0752207578,,,
35.6250000000,570,1.0582487551,,,
35.6875000000,571,1.1204021090,,,
35.7500000000,572,1.4848540156,,,
35.8125000000,573,1.8990895025,,,
35.8750000000,574,2.0216167446,,,
35.9375000000,575,1.9900067208,,,
36.0000000000,576,1.7800054294,,,
36.0625000000,577,1.8177696598,,,
36.1250000000,578,1.5640717117,,,
36.1875000000,579,1.3923952430,,,
36.2500000000,580,1.3989730432,,,
36.3125000000,581,1.3461147167,,,
36.3750000000,582,1.3310050032,,,
36.4375000000,583,1.3835506352,,,
36.5000000000,584,1.5141152154,,,
36.5625000000,585,1.6645437711,,,
36.6250000000,586,1.6619228465,,,
36.6875000000,587,1.5799409710,,,
36.7500000000,588,1.3713671111,,,
36.8125000000,589,1.4341004184,,,
36.8750000000,590,1.4236585148,,,
36.9375000000,591,1.3388902872,,,
37.0000000000,592,1.2395686171,,,
37.0625000000,593,1.1003239153,,,
37.1250000000,594,1.3675460838,,,
37.1875000000,595,1.6571213208,,,
37.2500000000,596,1.4208806668,,,
37.3125000000,597,1.2516762545,,,
37.3750000000,598,1.2660130740,,,
37.4375000000,599,1.2893578775,,,
37.5000000000,600,1.2718245069,,,
37.5625000000,601,1.2192696546,,,
37.6250000000,602,1.1806108834,,,
37.6875000000,603,1.2835023261,,,
37.7500000000,604,1.3760216733,,,
37.8125000000,605,1.3237806626,,,
37.8750000000,606,1.4992404661,,,
37.9375000000,607,1.8948191966,,,
38.0000000000,608,2.3639872455,,,
38.0625000000,609,2.4892269336,,,
38.1250000000,610,2.3094189923,,,
38.1875000000,611,2.2264936320,,,
38.2500000000,612,2.7005655044,,,
38.3125000000,613,3.5735688957,,,
38.3750000000,614,4.0859058254,,,
38.4375000000,615,4.3553879348,,,
38.5000000000,616,4.4063443524,,,
38.5625000000,617,4.5076281588,,,
38.6250000000,618,5.0330367749,,,
38.6875000000,619,4.9703932419,,,
38.7500000000,620,4.8491774151,,,
38.8125000000,621,4.8924128362,,,
38.8750000000,622,4.3017212912,,,
38.9375000000,623,3.2106938289,,,
39.0000000000,624,2.0653718526,,,
39.0625000000,625,1.4590516214,,,
39.1250000000,626,1.2028347971,,,
39.1875000000,627,0.9558659209,,,
39.2500000000,628,0.8247126280,,,
39.3125000000,629,0.7540884208,,,
39.3750000000,630,0.7339599154,,,
39.4375000000,631,0.6042134087,,,
39.5000000000,632,0.5066691625,,,
39.5625000000,633,0.4803135566,,,
39.6250000000,634,0.4858187991,,,
39.6875000000,635,0.4936885143,,,
39.7500000000,636,0.4688609355,,,
39.8125000000,637,0.5012476589,,,
39.8750000000,638,0.4646211219,,,
39.9375000000,639,0.4222680024,,,
40.0000000000,640,0.4203359991,,,
40.0625000000,641,0.4540342194,,,
40.1250000000,642,0.4698221642,,,
40.1875000000,643,0.4919729186,,,
40.2500000000,644,0.5380951760,,,
40.3125000000,645,0.5412767134,,,
40.3750000000,646,0.5428491230,,,
40.4375000000,647,0.5767577854,,,
40.5000000000,648,0.6428995662,,,
40.5625000000,649,0.8629397463,,,
40.6250000000,650,0.9676478376,,,
40.6875000000,651,0.9689667558,,,
40.7500000000,652,0.9668410618,,,
40.8125000000,653,1.0096435856,,,
40.8750000000,654,1.3782521523,,,
40.9375000000,655,1.6562682212,,,
41.0000000000,656,1.9354794584,,,
41.0625000000,657,1.9423569590,,,
41.1250000000,658,1.9819844353,,,
41.1875000000,659,2.2188340919,,,
41.2500000000,660,2.7652700870,,,
41.3125000000,661,3.2514143128,,,
41.3750000000,662,3.5854538217,,,
41.4375000000,663,4.1818497441,,,
41.5000000000,664,4.7048838665,,,
41.5625000000,665,4.6944592462,,,
41.6250000000,666,4.5730184294,,,
41.6875000000,667,4.3745679120,,,
41.7500000000,668,4.0069899342,,,
41.8125000000,669,3.3376568862,,,
41.8750000000,670,2.6607050690,,,
41.9375000000,671,2.6195572048,,,
42.0000000000,672,2.5057513679,,,
42.0625000000,673,2.5427855131,,,
42.1250000000,674,2.4593005717,,,
42.1875000000,675,2.2750109849,,,
42.2500000000,676,1.9472224732,,,
42.3125000000,677,1.8501390276,,,
42.3750000000,678,1.8149872744,,,
42.4375000000,679,1.6861308135,,,
42.5000000000,680,1.4744562167,,,
42.5625000000,681,1.0911743036,,,
