Time:1Hz,Epoch,F3,F4,C3,Cz,C4,P3,P4,O1,O2,Event Id,Event Date,Event Duration
31.5625000000,505,10.5172800735,12.0136042953,1.4828555227,2.1272226973,2.4770871324,3.1492227901,3.1119954688,10.9429192841,7.1526859776,,,
31.6250000000,506,8.9133475914,10.8407091114,1.3539898120,2.3457097409,2.2485379214,3.0120798971,2.2499813675,10.7606816299,6.3552508331,,,
31.6875000000,507,8.4270341745,9.9617605750,1.1183631059,2.4424311733,1.9287493599,2.7616854930,1.8275558141,10.2070552627,6.2167047108,,,
31.7500000000,508,8.3045507403,8.7108109362,1.0418078217,2.2600445800,1.3985846536,2.2983042333,1.6699890825,8.2055184785,6.0504956500,,,
31.8125000000,509,7.9533771248,7.2485342991,1.0570824919,1.8996447899,0.8940054530,1.7696881549,1.6295243917,5.6577707032,5.5065704064,,,
31.8750000000,510,7.6785983206,6.6867197116,1.0047397122,1.8652024110,0.7133337216,1.4238148849,1.6450624404,4.5995339140,5.1682621717,,,
31.9375000000,511,7.9648932773,7.1539341110,0.8725250407,1.9742706965,0.6726204608,1.3430711739,1.7440816911,4.3378578403,5.0030236053,,,
32.0000000000,512,8.7728496463,8.4205639075,0.8206954558,2.0461776581,0.6649904474,1.5274515485,1.7801333030,4.6677159818,4.4808388956,,,
32.0625000000,513,9.5590942633,10.0086234421,0.6641482899,1.9457338258,0.7028852920,2.0475530295,1.6740795255,5.4101641112,3.1587503196,,,
32.1250000000,514,9.8138273444,10.7944814604,0.5405176952,1.8879992559,0.7558187565,2.4651996161,1.5974804243,6.7433270558,2.2265808640,,,
32.1875000000,515,9.6747847405,10.8237003669,0.5012447159,1.8716459078,0.7692829757,2.6289631412,1.6514961890,7.4367813529,1.7408446400,,,
32.2500000000,516,9.5864166138,10.7855961963,0.5245523383,1.9349366787,0.7502182074,2.6860182902,1.7836021598,7.9778262840,1.7484421403,,,
32.3125000000,517,8.9655168600,10.4264913190,0.5771147781,1.9647897160,0.6393549806,2.6667562844,1.8187440264,8.2493517635,1.9635494170,,,
32.3750000000,518,7.3599301184,8.9926775405,0.6458718187,1.9423023320,0.5441165031,2.4757639431,1.6116509365,8.3206379302,2.2961381626,,,
32.4375000000,519,6.1279061612,7.5075407570,0.7255660603,1.9743389994,0.5460824941,2.2816537573,1.4116520209,8.5488907290,2.7427933486,,,
32.5000000000,520,5.4737409844,6.7754173904,0.7779438234,1.8926029363,0.5622162969,2.1575388439,1.3620856963,8.5216401858,3.0517259571,,,
32.5625000000,521,5.3591251700,6.6555837882,0.8191629740,1.7555820577,0.5680547324,2.1126549506,1.3540559710,8.6472657340,3.3177971718,,,
32.6250000000,522,5.5733099051,6.8600909439,0.8306555045,1.6175538053,0.5673537881,2.1110721438,1.4219895920,8.8280129146,3.6961901128,,,
32.6875000000,523,5.5986405406,6.8484813266,0.8384120250,1.5046689063,0.5727319104,2.1059646964,1.4772366956,8.8245576603,3.8048859472,,,
32.7500000000,524,5.8259791370,6.9985929910,0.8492509748,1.4628418303,0.6033197493,2.1580845812,1.6712773621,8.7680256081,3.8238565129,,,
32.8125000000,525,6.4137195118,7.4234625275,0.8391528161,1.4517549930,0.6056124797,2.2769345270,1.9325990118,8.5093974748,3.9844242450,,,
32.8750000000,526,7.1878708402,7.8790415197,0.8050662685,1.3632609342,0.5675740870,2.3978862311,2.1194347454,8.4033961705,4.4083964283,,,
32.9375000000,527,7.5856359349,7.8482960194,0.7828349924,1.2922517208,0.5587115317,2.3523774988,2.2870628531,8.4798609523,5.0335868727,,,
33.0000000000,528,7.2571961878,6.7616839189,0.7353448274,1.2339617593,0.5806958499,2.0659538448,2.3823779996,8.2167979834,5.3668376481,,,
33.0625000000,529,6.3849045588,4.8576440553,0.7206232595,1.2663097274,0.5827765279,1.4432600170,2.4635899174,7.0309926001,5.3576805009,,,
33.1250000000,530,5.9073658256,3.8545144836,0.7643064519,1.2568951348,0.5336960976,0.9389942642,2.4764980398,5.3891218901,5.3961779802,,,
33.1875000000,531,6.0889774460,3.8470715054,0.8267409465,1.2541235495,0.4866234961,0.7344479656,2.5051572109,4.5446861795,5.4909832888,,,
33.2500000000,532,7.0424855727,4.5096523930,0.8695486753,1.1740933302,0.4443948174,0.6651950751,2.7203217637,4.0994807860,5.8264252264,,,
33.3125000000,533,8.0836664186,5.5706431563,0.8274926949,1.0611143479,0.4369332483,0.7087738928,2.9874537169,4.0679073045,6.1564273401,,,
33.3750000000,534,8.7791419488,6.5906531915,0.8016723415,0.9851589355,0.4407207772,0.8051920266,3.3629703156,3.9861905643,6.4107882460,,,
33.4375000000,535,8.9246308933,7.3036574275,0.8442689216,0.9704126404,0.4351727956,0.9592993715,3.7181049903,3.5008709999,6.4677614111,,,
33.5000000000,536,8.7163636941,7.4650196401,1.0393997271,1.0534733915,0.4741436417,1.3387832981,3.8674830845,2.9770483268,6.3322075330,,,
33.5625000000,537,8.3575785712,7.2943359570,1.2035210944,1.0985534031,0.5758518361,1.8131152186,3.9747963652,2.4040709460,6.2348742768,,,
33.6250000000,538,8.1190998248,7.1092782747,1.2081698652,1.0735066204,0.6425460720,2.1346354218,3.9247300372,2.1440075178,5.8967368576,,,
